route_id,service_id,trip_id,trip_headsign,direction_id,block_id,wheelchair_accessible
L6,52534-__L654-LAMJV,5518202,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L654-LAMJV,5518206,Villeneuve D Ascq Contrescarpe,0,,1
L6,52534-__L655-LAMJV,5518236,Villeneuve D Ascq Contrescarpe,0,,1
74F,52426-_74F14-D,5511310,Armentieres Armentieres Gare,1,,1
A1,52432-__A111-D,5511392,Bondues Bondues Ravennes,0,,1
74F,52426-_74F18-D,5511314,Armentieres Armentieres Gare,1,,1
F10,52447-_F1011-D,5511607,Illies Centre,1,,1
74F,52427-_74F14-LAMJV,5511330,Armentieres Armentieres Gare,1,,1
74F,52427-_74F18-LAMJV,5511334,Armentieres Armentieres Gare,1,,1
A1,52433-__A108-LAMJV,5511405,Bondues Bondues Ravennes,0,,1
F6,52242-__F607-LAMJV,5495348,Seclin Gare,0,,1
A3,52230-__A303-LAMJV,5495117,Tourcoing Pt De Neuville,1,,1
F2,52469-__F203-LAMJV,5512352,Quesnoy Sur Deule Quesnoy Mairie,0,,1
F2,52469-__F205-LAMJV,5512354,Quesnoy Sur Deule Quesnoy Mairie,0,,1
F18,52463-_F1844-D,5512195,Quesnoy Sur Deule Quesnoy Mairie,0,,1
F18,52463-_F1875-D,5512226,Houplines Hotel De Ville,0,,1
F18,52463-_F1877-D,5512228,Houplines Hotel De Ville,0,,1
F6,52481-__F609-D,5512567,Seclin Gare,0,,1
F6,52481-__F610-D,5512568,Seclin Gare,0,,1
F4,52476-__F404-LAMJV,5512479,Sainghin En Melantois Cimetiere,1,,1
F4,52476-__F405-LAMJV,5512480,Sainghin En Melantois Cimetiere,1,,1
L2,52314-__L258-LAMJV,5503034,Loos Les Oliveaux,1,,1
F4,52475-__F401-D,5512447,Sainghin En Melantois Cimetiere,1,,1
F4,52475-__F407-D,5512453,Sainghin En Melantois Cimetiere,1,,1
F4,52475-__F415-D,5512461,Sainghin En Melantois Cimetiere,1,,1
F8,52487-__F802-D,5512634,Illies Centre,0,,1
F8,52487-__F808-D,5512640,Illies Centre,0,,1
15,53808-__1518-LAMJV,5653099,Lesquin Verdun,1,,1
15,53808-__1518-LAMJV,5653103,Lesquin Verdun,1,,1
15,53808-__1517-LAMJV,5653093,Lesquin Verdun,1,,1
F18,53860-_F1844-S,5655429,Quesnoy Sur Deule Quesnoy Mairie,0,,1
F18,53860-_F1862-S,5655447,Quesnoy Sur Deule Quesnoy Mairie,0,,1
F18,53860-_F1875-S,5655460,Houplines Hotel De Ville,0,,1
F2,52467-__F202-S,5512327,Quesnoy Sur Deule Quesnoy Mairie,0,,1
F4,52474-__F403-S,5512420,Sainghin En Melantois Cimetiere,1,,1
F8,52486-__F804-S,5512622,Illies Centre,0,,1
74F,52425-_74F11-S,5511287,Armentieres Armentieres Gare,1,,1
74F,52425-_74F20-S,5511296,Armentieres Armentieres Gare,1,,1
A1,52431-__A108-S,5511373,Bondues Bondues Ravennes,0,,1
A1,52431-__A114-S,5511379,Bondues Bondues Ravennes,0,,1
A3,52437-__A301-S,5511448,Tourcoing Pt De Neuville,1,,1
A3,52437-__A302-S,5511449,Tourcoing Pt De Neuville,1,,1
A3,52437-__A303-S,5511450,Tourcoing Pt De Neuville,1,,1
F1,52444-__F101-S,5511533,Armentieres Armentieres Gare,1,,1
F10,52446-_F1011-S,5511565,Illies Centre,1,,1
F10,52446-_F1026-S,5511580,Illies Centre,1,,1
E4,53023-__E408-LAMJV,5571589,Leers Coeur De Ville,1,,1
82,53610-__8251-LAMJV,5634422,Armentieres Armentieres Gare,1,,1
S71,53819-_S7117-LAMJV,5653535,Marquette Lez Lille College Debeyre,0,,1
38,53493-__3807-LAMJV,5625012,Tourcoing C.H. Dron,0,,1
S31,52769-_S3104-LAJV,5527039,Armentieres Armentieres Gare,0,,1
65,53584-__6508-LAMJV,5633288,Armentieres Armentieres Gare,0,,1
81,52723-__8104-LAMJV,5524292,Armentieres Armentieres Gare,1,,1
82,53453-__8203-LAMJV,5621577,Armentieres Armentieres Gare,1,,1
82,53453-__8205-LAMJV,5621582,Tourcoing Pt De Neuville,0,,1
82,53453-__8207-LAMJV,5621590,Tourcoing Pt De Neuville,0,,1
82,53453-__8209-LAMJV,5621592,Tourcoing Pt De Neuville,0,,1
S72,53820-_S7216-A,5653543,Wambrechies Paul Verlaine,1,,1
82,53609-__8201-S,5634318,Armentieres Armentieres Gare,1,,1
82,53609-__8204-S,5634322,Tourcoing Pt De Neuville,0,,1
82,53609-__8210-S,5634342,Armentieres Armentieres Gare,1,,1
S58,52780-_S5801-M,5527092,Tourcoing Pont Hydraulique,1,,1
S72,53820-_S7204-M,5653538,Wambrechies Paul Verlaine,1,,1
66,53586-__6609-LAMJV,5633349,Forest Sur Marque Eglise,0,,1
66,53586-__6615-LAMJV,5633367,Forest Sur Marque Eglise,0,,1
66,53586-__6617-LAMJV,5633377,Forest Sur Marque Eglise,0,,1
L99,53642-_L9926-V,5637330,Armentieres Armentieres Gare,1,,1
E4,53024-__E405-LAMJV,5571600,Leers Coeur De Ville,1,,1
E4,53024-__E406-LAMJV,5571607,Leers Coeur De Ville,1,,1
E4,53024-__E407-LAMJV,5571608,Leers Coeur De Ville,1,,1
E4,53024-__E407-LAMJV,5571610,Leers Coeur De Ville,1,,1
66,53587-__6609-S,5633424,Forest Sur Marque Eglise,0,,1
66,53587-__6611-S,5633436,Forest Sur Marque Eglise,0,,1
L99,53641-_L9912-S,5637195,Armentieres Armentieres Gare,1,,1
66,53587-__6612-S,5633441,Forest Sur Marque Eglise,0,,1
P6,53042-__P603-LAMJV,5572591,Halluin Hotel De Ville,0,,1
P6,53042-__P604-LAMJV,5572593,Halluin Hotel De Ville,0,,1
P6,52852-__P601-S,5532473,Halluin Hotel De Ville,0,,1
P6,52852-__P603-S,5532486,Halluin Hotel De Ville,0,,1
P6,52852-__P604-S,5532491,Halluin Hotel De Ville,0,,1
80,53605-__8015-S,5634196,Armentieres College Jean Rostand,0,,1
P6,52853-__P601-D,5532500,Halluin Hotel De Ville,0,,1
P6,52853-__P601-D,5532502,Halluin Hotel De Ville,0,,1
P6,52853-__P602-D,5532514,Halluin Hotel De Ville,0,,1
